date,trial_#,day_or_night,hatch_group,trial_options,x_axis,y_axis,include,total_distance_recorded,notes2
3/5/2018,240,D,2,light,.,.,1,,
3/5/2018,241,D,2,light,.,.,1,,
3/7/2018,242,D,2,dvr,r,d,1,,
3/7/2018,243,D,2,dvr,r,d,1,,
3/7/2018,244,D,2,dvr,r,d,1,,
3/7/2018,245,D,2,dvr,r,d,0,too short ,too short 
3/7/2018,246,D,2,dvr,d,r,1,,
3/7/2018,247,D,2,dvr,d,r,1,,
3/7/2018,248,D,2,dvr,d,r,1,,
3/7/2018,249,D,2,dvr,d,r,1,,
3/7/2018,250,N,2,dvr,d,r,1,,
3/7/2018,251,N,2,dvr,d,r,1,,
3/7/2018,252,N,2,dvr,d,r,1,,
3/7/2018,253,N,2,dvr,d,r,1,,
3/7/2018,254,N,2,dvr,d,r,1,,
3/7/2018,255,N,2,dvr,d,r,1,,
3/7/2018,256,N,2,dvr,d,r,1,,
3/7/2018,257,N,2,bvg,g,b,1,,
3/7/2018,258,N,2,bvg,g,b,1,,
3/7/2018,259,N,2,bvg,g,b,1,,
3/7/2018,260,N,2,bvg,g,b,1,,
3/7/2018,261,N,2,bvg,g,b,1,,
3/7/2018,262,N,2,bvg,b,g,1,,
3/7/2018,263,N,2,bvg,b,g,1,,
3/7/2018,264,N,2,bvg,b,g,1,,
3/7/2018,265,N,2,bvg,b,g,1,,
3/7/2018,266,N,2,bvg,b,g,1,,
3/7/2018,267,N,2,dvb,b,d,1,,
3/7/2018,268,D,2,bvg,b,g,1,,
3/7/2018,269,D,2,bvg,b,g,1,,
3/7/2018,270,D,2,bvg,b,g,1,,
3/7/2018,271,D,2,bvg,b,g,1,,
3/7/2018,272,D,2,bvg,b,g,1,,
3/7/2018,273,D,2,bvg,g,b,1,,
3/7/2018,274,D,2,bvg,g,b,1,,
3/7/2018,275,D,2,bvg,g,b,1,,
3/7/2018,276,D,2,bvg,g,b,1,,
3/7/2018,277,D,2,bvg,g,b,1,,
3/7/2018,278,D,2,bvy,y,b,1,~40 seconds long,~40 seconds long
3/7/2018,279,D,2,bvy,y,b,1,,
3/7/2018,280,D,2,bvy,y,b,1,,
3/7/2018,281,D,2,bvy,y,b,1,,
3/7/2018,282,D,2,bvy,y,b,1,~40 seconds long,~40 seconds long
3/7/2018,283,D,2,bvy,b,y,1,,
3/7/2018,284,D,2,bvy,b,y,1,,
3/7/2018,285,D,2,bvy,b,y,1,,
3/7/2018,286,D,2,bvy,b,y,1,,
3/8/2018,287,D,2,bvy,b,y,1,,
3/8/2018,288,D,2,yvg,g,y,1,,
3/8/2018,289,D,2,yvg,g,y,1,~40 seconds long,~40 seconds long
3/8/2018,290,D,2,yvg,g,y,1,,
3/8/2018,291,D,2,yvg,g,y,1,,
3/8/2018,292,D,2,yvg,g,y,1,,
3/8/2018,293,D,2,yvg,y,g,1,,
3/8/2018,294,D,2,yvg,y,g,1,,
3/8/2018,295,D,2,yvg,y,g,1,,
3/8/2018,296,D,2,yvg,y,g,1,,
3/8/2018,297,D,2,yvg,y,g,0,too short 9.0,too short 9.0
3/8/2018,298,D,2,yvg,y,g,0,too short 2.9,too short 2.9
3/8/2018,299,D,2,yvg,y,g,1,,
3/8/2018,300,D,2,dvr,r,d,1,,
3/8/2018,301,N,2,dvb,d,b,1,,
3/8/2018,302,N,2,dvb,d,b,1,,
3/8/2018,303,N,2,dvb,d,b,1,,
3/8/2018,304,N,2,dvb,d,b,1,,
3/8/2018,305,N,2,dvg,d,g,0,too short 5.1,too short 5.1
3/8/2018,306,N,2,dvg,d,g,1,,
3/8/2018,307,N,2,dvg,d,g,1,,
3/9/2018,308,N,2,rvy,r,y,0,too short 9.8,too short 9.8
3/9/2018,309,N,2,rvy,r,y,1,,
3/9/2018,310,N,2,rvy,r,y,1,,
3/9/2018,311,N,2,rvy,r,y,1,,
3/9/2018,312,N,2,rvy,r,y,1,,
3/9/2018,313,N,2,rvy,r,y,1,,
3/9/2018,314,N,2,yvg,g,y,1,,
3/9/2018,315,N,2,yvg,g,y,1,,
3/9/2018,316,N,2,yvg,g,y,1,,
3/21/2018,317,fed,0.226,.,.,.,1,28,28 cm
3/21/2018,318,fed,0.254,.,.,.,1,12,12 cm
3/21/2018,319,fed,0.235,.,.,.,1,291,291 cm
3/21/2018,320,fed,0.266,.,.,.,1,19,19 cm
3/21/2018,321,fed,0.34,.,.,.,0,9,9 cm
3/26/2018,322,fed,0.214,.,.,.,1,50,"50 cm, froze around 525 sec"
3/26/2018,323,fed,0.21,.,.,.,1,55,55 cm
3/27/2018,324,fed,0.223,.,.,.,0,10,"10 cm, not during stim 2"
3/27/2018,325,fed,0.33,.,.,.,1,93,93 cm
3/27/2018,326,fed,0.334,.,.,.,1,88,"88 cm, froze around 525 sec"
3/27/2018,327,fed,0.227,.,.,.,0,4,4 cm
3/27/2018,328,fed,0.335,.,.,.,0,5,5 cm
3/27/2018,329,fed,0.311,.,.,.,1,169,169 cm
3/27/2018,330,fed,0.242,.,.,.,0,9,9 cm
3/27/2018,331,fed,0.27,.,.,.,1,123,123 cm
3/27/2018,332,fed,0.231,.,.,.,0,10,"10 cm, but not during stim 2"
3/27/2018,333,fed,0.292,.,.,.,1,272,272 cm
3/28/2018,334,fed,0.268,.,.,.,0,17,"17 cm, but not during stim 2"
3/28/2018,335,fed,0.277,.,.,.,0,8,8 cm
3/28/2018,336,fed,0.233,.,.,.,1,80,80 cm
3/28/2018,337,fed,0.284,.,.,.,0,18,"18 cm, but not during stim 2"
3/28/2018,338,fed,0.286,.,.,.,1,85,85 cm
